customer_id,city_tier,recency_days,frequency,monetary,segment,segment_label
109,Tier2,38,3,1776.0,3,New/Low-Value Active
110,Tier2,253,6,2670.0,2,Dormant/Churned
111,Tier1,10,5,369.0,0,Champions
112,Tier2,18,5,2492.0,0,Champions
113,Tier3,35,3,1050.0,3,New/Low-Value Active
114,Tier2,63,3,2977.0,3,New/Low-Value Active
115,Tier3,70,2,982.0,3,New/Low-Value Active
116,Tier2,5,4,2292.0,0,Champions
117,Tier1,6,5,1777.0,0,Champions
118,Tier2,49,5,2265.0,0,Champions
119,Tier2,17,3,1037.0,3,New/Low-Value Active
120,Tier2,4,0,0.0,3,New/Low-Value Active
121,Tier3,16,6,219.0,0,Champions
122,Tier1,130,3,3137.0,2,Dormant/Churned
123,Tier3,14,4,791.0,3,New/Low-Value Active
124,Tier2,103,5,3884.0,2,Dormant/Churned
125,Tier1,20,6,3310.0,0,Champions
126,Tier2,4,0,0.0,3,New/Low-Value Active
127,Tier3,31,2,381.0,3,New/Low-Value Active
128,Tier1,176,5,3846.0,2,Dormant/Churned
129,Tier3,81,2,1062.0,3,New/Low-Value Active
130,Tier3,10,7,1868.0,0,Champions
131,Tier3,15,5,1729.0,0,Champions
132,Tier3,48,3,548.0,3,New/Low-Value Active
133,Tier3,66,0,0.0,3,New/Low-Value Active
134,Tier3,27,3,373.0,3,New/Low-Value Active
135,Tier1,10,7,1504.0,0,Champions
136,Tier3,13,0,0.0,3,New/Low-Value Active
137,Tier1,4,4,3207.0,0,Champions
138,Tier2,23,5,502.0,0,Champions
139,Tier3,99,3,691.0,2,Dormant/Churned
140,Tier2,45,5,1123.0,0,Champions
141,Tier2,3,3,1122.0,3,New/Low-Value Active
142,Tier1,31,3,2233.0,3,New/Low-Value Active
143,Tier3,34,6,647.0,0,Champions
144,Tier2,31,5,4628.0,0,Champions
145,Tier1,32,5,3144.0,0,Champions
146,Tier3,52,5,5999.0,1,At-Risk High-Value
147,Tier2,48,3,2817.0,3,New/Low-Value Active
148,Tier1,7,6,2463.0,0,Champions
149,Tier3,71,8,3484.0,0,Champions
150,Tier3,22,2,81.0,3,New/Low-Value Active
151,Tier1,154,9,8877.0,1,At-Risk High-Value
152,Tier2,96,7,2913.0,0,Champions
153,Tier1,46,6,1833.0,0,Champions
154,Tier3,41,1,479.0,3,New/Low-Value Active
155,Tier1,23,3,3920.0,0,Champions
156,Tier3,75,4,2388.0,0,Champions
157,Tier3,20,7,1558.0,0,Champions
158,Tier2,15,1,295.0,3,New/Low-Value Active
159,Tier3,43,3,2715.0,3,New/Low-Value Active
160,Tier2,3,2,531.0,3,New/Low-Value Active
161,Tier2,100,1,312.0,2,Dormant/Churned
162,Tier3,37,2,634.0,3,New/Low-Value Active
163,Tier2,1,3,1495.0,3,New/Low-Value Active
164,Tier3,17,3,797.0,3,New/Low-Value Active
165,Tier3,0,2,372.0,3,New/Low-Value Active
166,Tier3,33,1,406.0,3,New/Low-Value Active
167,Tier1,21,2,2624.0,3,New/Low-Value Active
168,Tier3,39,4,1459.0,3,New/Low-Value Active
169,Tier2,49,3,1180.0,3,New/Low-Value Active
170,Tier2,16,1,113.0,3,New/Low-Value Active
171,Tier1,66,8,6811.0,1,At-Risk High-Value
172,Tier3,1,3,367.0,3,New/Low-Value Active
173,Tier3,33,3,2197.0,3,New/Low-Value Active
174,Tier3,25,1,240.0,3,New/Low-Value Active
175,Tier3,17,6,2194.0,0,Champions
176,Tier1,77,5,651.0,0,Champions
177,Tier3,1,3,761.0,3,New/Low-Value Active
178,Tier3,44,2,416.0,3,New/Low-Value Active
179,Tier1,10,4,1876.0,0,Champions
180,Tier3,81,1,632.0,3,New/Low-Value Active
181,Tier2,32,5,911.0,0,Champions
182,Tier3,41,2,586.0,3,New/Low-Value Active
183,Tier2,112,5,4140.0,2,Dormant/Churned
184,Tier3,7,3,3559.0,0,Champions
185,Tier2,19,5,1390.0,0,Champions
186,Tier2,73,5,1994.0,0,Champions
187,Tier2,101,2,830.0,2,Dormant/Churned
188,Tier1,11,11,3284.0,0,Champions
189,Tier1,15,6,7788.0,1,At-Risk High-Value
190,Tier3,29,1,280.0,3,New/Low-Value Active
191,Tier3,4,3,1567.0,3,New/Low-Value Active
192,Tier2,0,9,4198.0,0,Champions
193,Tier3,12,3,941.0,3,New/Low-Value Active
194,Tier2,107,4,1767.0,2,Dormant/Churned
195,Tier1,26,4,1800.0,0,Champions
196,Tier3,63,3,1300.0,3,New/Low-Value Active
197,Tier3,50,4,1812.0,0,Champions
198,Tier2,41,3,2800.0,3,New/Low-Value Active
199,Tier2,49,5,2870.0,0,Champions
200,Tier1,13,7,677.0,0,Champions
201,Tier3,32,2,1121.0,3,New/Low-Value Active
202,Tier3,71,4,1819.0,0,Champions
203,Tier1,193,3,1305.0,2,Dormant/Churned
204,Tier1,105,4,7337.0,1,At-Risk High-Value
205,Tier3,13,1,296.0,3,New/Low-Value Active
206,Tier3,10,3,373.0,3,New/Low-Value Active
207,Tier3,21,1,334.0,3,New/Low-Value Active
208,Tier3,63,8,4554.0,1,At-Risk High-Value
209,Tier2,173,5,7238.0,2,Dormant/Churned
210,Tier1,106,5,3787.0,2,Dormant/Churned
211,Tier2,26,8,3344.0,0,Champions
212,Tier3,9,1,94.0,3,New/Low-Value Active
213,Tier2,73,8,1159.0,0,Champions
214,Tier1,2,2,1525.0,3,New/Low-Value Active
215,Tier3,50,3,3286.0,3,New/Low-Value Active
216,Tier3,15,3,537.0,3,New/Low-Value Active
217,Tier1,26,6,5607.0,1,At-Risk High-Value
218,Tier2,45,8,1356.0,0,Champions
219,Tier3,36,1,1070.0,3,New/Low-Value Active
220,Tier2,44,6,2458.0,0,Champions
221,Tier3,200,1,545.0,2,Dormant/Churned
222,Tier3,108,1,89.0,2,Dormant/Churned
223,Tier3,7,3,792.0,3,New/Low-Value Active
224,Tier2,5,5,4132.0,0,Champions
225,Tier1,83,7,859.0,0,Champions
226,Tier3,49,3,300.0,3,New/Low-Value Active
227,Tier3,10,4,2410.0,0,Champions
228,Tier3,81,4,1882.0,2,Dormant/Churned
229,Tier1,45,9,4620.0,1,At-Risk High-Value
230,Tier3,134,4,1985.0,2,Dormant/Churned
231,Tier2,2,4,293.0,3,New/Low-Value Active
232,Tier3,20,2,70.0,3,New/Low-Value Active
233,Tier2,75,1,803.0,3,New/Low-Value Active
234,Tier1,11,7,15306.0,1,At-Risk High-Value
235,Tier3,63,2,2198.0,3,New/Low-Value Active
236,Tier2,6,4,1866.0,0,Champions
237,Tier2,11,4,1262.0,3,New/Low-Value Active
238,Tier3,113,0,0.0,2,Dormant/Churned
239,Tier1,13,6,5063.0,0,Champions
240,Tier3,28,5,4051.0,0,Champions
241,Tier3,38,6,7228.0,1,At-Risk High-Value
242,Tier2,50,4,2612.0,0,Champions
243,Tier1,3,7,3444.0,0,Champions
244,Tier3,4,3,1702.0,3,New/Low-Value Active
245,Tier3,33,3,1188.0,3,New/Low-Value Active
246,Tier1,34,5,865.0,0,Champions
247,Tier3,11,2,1394.0,3,New/Low-Value Active
248,Tier3,51,3,1416.0,3,New/Low-Value Active
249,Tier3,66,2,178.0,3,New/Low-Value Active
250,Tier1,28,10,1088.0,0,Champions
251,Tier3,52,4,1460.0,3,New/Low-Value Active
252,Tier2,6,0,0.0,3,New/Low-Value Active
253,Tier3,57,7,4110.0,0,Champions
254,Tier1,60,9,4191.0,1,At-Risk High-Value
255,Tier1,46,7,1160.0,0,Champions
256,Tier3,70,2,829.0,3,New/Low-Value Active
257,Tier2,113,3,1450.0,2,Dormant/Churned
258,Tier3,20,5,1121.0,0,Champions
259,Tier3,17,5,2915.0,0,Champions
260,Tier1,62,9,5646.0,1,At-Risk High-Value
261,Tier1,15,5,1612.0,0,Champions
262,Tier1,31,5,1255.0,0,Champions
263,Tier1,69,4,1840.0,0,Champions
264,Tier1,178,4,4008.0,2,Dormant/Churned
265,Tier3,214,1,141.0,2,Dormant/Churned
266,Tier3,44,7,2249.0,0,Champions
267,Tier3,33,7,3763.0,0,Champions
268,Tier1,22,6,1542.0,0,Champions
269,Tier2,37,6,1014.0,0,Champions
270,Tier2,33,5,3724.0,0,Champions
271,Tier3,32,2,457.0,3,New/Low-Value Active
272,Tier3,18,3,2120.0,3,New/Low-Value Active
273,Tier2,88,4,765.0,2,Dormant/Churned
274,Tier2,105,3,646.0,2,Dormant/Churned
275,Tier3,12,4,1827.0,0,Champions
276,Tier1,35,6,4771.0,0,Champions
277,Tier2,121,2,755.0,2,Dormant/Churned
278,Tier2,52,4,1980.0,0,Champions
279,Tier3,1,1,305.0,3,New/Low-Value Active
280,Tier1,24,6,6329.0,1,At-Risk High-Value
281,Tier1,2,3,2051.0,3,New/Low-Value Active
282,Tier2,32,2,1700.0,3,New/Low-Value Active
283,Tier3,5,3,663.0,3,New/Low-Value Active
284,Tier1,5,8,2252.0,0,Champions
285,Tier1,12,5,1535.0,0,Champions
286,Tier2,14,2,933.0,3,New/Low-Value Active
287,Tier3,98,7,4403.0,0,Champions
288,Tier1,50,7,5389.0,1,At-Risk High-Value
289,Tier3,19,2,594.0,3,New/Low-Value Active
290,Tier2,16,7,2701.0,0,Champions
291,Tier3,4,4,1521.0,3,New/Low-Value Active
292,Tier2,7,4,1080.0,3,New/Low-Value Active
293,Tier2,1,2,1693.0,3,New/Low-Value Active
294,Tier3,38,3,11.0,3,New/Low-Value Active
295,Tier2,20,2,387.0,3,New/Low-Value Active
296,Tier1,4,3,1121.0,3,New/Low-Value Active
297,Tier1,52,7,1697.0,0,Champions
298,Tier2,31,1,224.0,3,New/Low-Value Active
299,Tier3,0,1,985.0,3,New/Low-Value Active
300,Tier2,38,0,0.0,3,New/Low-Value Active
301,Tier2,84,3,1614.0,2,Dormant/Churned
302,Tier3,116,6,5991.0,1,At-Risk High-Value
303,Tier1,12,5,5137.0,0,Champions
304,Tier3,44,6,4362.0,0,Champions
305,Tier2,71,5,3063.0,0,Champions
306,Tier1,49,3,926.0,3,New/Low-Value Active
307,Tier2,51,2,1030.0,3,New/Low-Value Active
308,Tier3,6,4,920.0,3,New/Low-Value Active
309,Tier1,23,9,9396.0,1,At-Risk High-Value
310,Tier3,51,2,1130.0,3,New/Low-Value Active
311,Tier2,10,2,934.0,3,New/Low-Value Active
312,Tier1,1,2,962.0,3,New/Low-Value Active
313,Tier2,39,5,2058.0,0,Champions
314,Tier1,53,3,1815.0,3,New/Low-Value Active
315,Tier1,3,3,2052.0,3,New/Low-Value Active
316,Tier2,28,7,658.0,0,Champions
317,Tier2,62,3,1176.0,3,New/Low-Value Active
318,Tier3,12,1,118.0,3,New/Low-Value Active
319,Tier2,18,3,1563.0,3,New/Low-Value Active
320,Tier1,17,4,6680.0,1,At-Risk High-Value
321,Tier3,14,2,848.0,3,New/Low-Value Active
322,Tier2,41,3,1114.0,3,New/Low-Value Active
323,Tier3,99,2,475.0,2,Dormant/Churned
324,Tier3,35,4,5721.0,0,Champions
325,Tier2,4,2,1090.0,3,New/Low-Value Active
326,Tier1,36,6,4369.0,0,Champions
327,Tier1,49,1,696.0,3,New/Low-Value Active
328,Tier2,14,4,2507.0,0,Champions
329,Tier3,20,2,408.0,3,New/Low-Value Active
330,Tier2,13,4,3129.0,0,Champions
331,Tier2,20,4,159.0,3,New/Low-Value Active
332,Tier2,32,6,8421.0,1,At-Risk High-Value
333,Tier1,2,5,2789.0,0,Champions
334,Tier2,13,1,1612.0,3,New/Low-Value Active
335,Tier2,59,4,872.0,3,New/Low-Value Active
336,Tier3,5,5,4102.0,0,Champions
337,Tier2,51,4,1160.0,3,New/Low-Value Active
338,Tier1,13,4,1839.0,0,Champions
339,Tier1,74,3,2097.0,3,New/Low-Value Active
340,Tier3,2,2,129.0,3,New/Low-Value Active
341,Tier2,77,5,728.0,0,Champions
342,Tier2,87,7,4335.0,0,Champions
343,Tier1,276,10,8260.0,2,Dormant/Churned
344,Tier3,99,5,2829.0,2,Dormant/Churned
345,Tier3,38,4,2802.0,0,Champions
346,Tier2,105,6,1944.0,2,Dormant/Churned
347,Tier3,63,3,2926.0,3,New/Low-Value Active
348,Tier2,21,1,285.0,3,New/Low-Value Active
349,Tier3,33,5,491.0,0,Champions
350,Tier3,67,1,1042.0,3,New/Low-Value Active
351,Tier1,20,6,3990.0,0,Champions
352,Tier1,4,7,18729.0,1,At-Risk High-Value
353,Tier2,27,2,1368.0,3,New/Low-Value Active
354,Tier2,81,5,4886.0,0,Champions
355,Tier1,42,9,8335.0,1,At-Risk High-Value
356,Tier2,2,3,2491.0,3,New/Low-Value Active
357,Tier3,26,3,380.0,3,New/Low-Value Active
358,Tier3,47,3,1567.0,3,New/Low-Value Active
359,Tier2,78,1,714.0,3,New/Low-Value Active
360,Tier3,45,2,975.0,3,New/Low-Value Active
361,Tier2,83,3,1606.0,2,Dormant/Churned
362,Tier2,11,3,3189.0,3,New/Low-Value Active
363,Tier2,15,5,1766.0,0,Champions
364,Tier2,60,2,3138.0,3,New/Low-Value Active
365,Tier3,3,2,934.0,3,New/Low-Value Active
366,Tier3,5,6,3488.0,0,Champions
367,Tier2,1,4,879.0,3,New/Low-Value Active
368,Tier3,117,3,491.0,2,Dormant/Churned
369,Tier3,6,5,2946.0,0,Champions
370,Tier3,3,2,1072.0,3,New/Low-Value Active
371,Tier1,0,3,1214.0,3,New/Low-Value Active
372,Tier3,15,3,1792.0,3,New/Low-Value Active
373,Tier3,65,3,1939.0,3,New/Low-Value Active
374,Tier3,13,1,422.0,3,New/Low-Value Active
375,Tier2,106,5,1536.0,2,Dormant/Churned
376,Tier2,17,2,1402.0,3,New/Low-Value Active
377,Tier3,39,5,3689.0,0,Champions
378,Tier3,33,2,492.0,3,New/Low-Value Active
379,Tier3,40,1,223.0,3,New/Low-Value Active
380,Tier2,72,6,1658.0,0,Champions
381,Tier2,12,1,786.0,3,New/Low-Value Active
382,Tier2,72,4,8526.0,1,At-Risk High-Value
383,Tier1,18,4,790.0,3,New/Low-Value Active
384,Tier1,28,7,4229.0,0,Champions
385,Tier2,10,4,1060.0,3,New/Low-Value Active
386,Tier3,18,1,693.0,3,New/Low-Value Active
387,Tier1,16,9,5582.0,1,At-Risk High-Value
388,Tier1,4,2,856.0,3,New/Low-Value Active
389,Tier3,108,7,599.0,2,Dormant/Churned
390,Tier1,112,9,4257.0,1,At-Risk High-Value
391,Tier2,72,2,141.0,3,New/Low-Value Active
392,Tier3,50,5,1412.0,0,Champions
393,Tier2,14,2,1913.0,3,New/Low-Value Active
394,Tier2,37,8,5933.0,1,At-Risk High-Value
395,Tier3,39,4,1129.0,3,New/Low-Value Active
396,Tier3,20,7,1639.0,0,Champions
397,Tier3,12,5,4903.0,0,Champions
398,Tier2,33,3,706.0,3,New/Low-Value Active
399,Tier2,24,6,2506.0,0,Champions
400,Tier3,8,5,925.0,0,Champions
401,Tier3,1,1,156.0,3,New/Low-Value Active
402,Tier2,14,6,1654.0,0,Champions
403,Tier1,188,6,1117.0,2,Dormant/Churned
404,Tier2,13,5,3569.0,0,Champions
405,Tier3,14,5,3179.0,0,Champions
406,Tier1,14,8,3332.0,0,Champions
407,Tier3,28,5,463.0,0,Champions
408,Tier3,39,5,2579.0,0,Champions
409,Tier1,21,8,1613.0,0,Champions
410,Tier3,60,1,139.0,3,New/Low-Value Active
411,Tier3,7,3,1674.0,3,New/Low-Value Active
412,Tier3,40,4,2831.0,0,Champions
413,Tier2,12,3,1884.0,3,New/Low-Value Active
414,Tier2,92,1,517.0,2,Dormant/Churned
415,Tier2,48,2,599.0,3,New/Low-Value Active
416,Tier2,36,0,0.0,3,New/Low-Value Active
417,Tier1,130,8,10003.0,1,At-Risk High-Value
418,Tier2,51,6,1758.0,0,Champions
419,Tier2,61,1,729.0,3,New/Low-Value Active
420,Tier2,130,3,791.0,2,Dormant/Churned
421,Tier3,22,4,6057.0,0,Champions
422,Tier3,23,3,3578.0,0,Champions
423,Tier1,27,8,7774.0,1,At-Risk High-Value
424,Tier3,98,2,341.0,2,Dormant/Churned
425,Tier2,13,7,8271.0,1,At-Risk High-Value
426,Tier1,73,3,1267.0,3,New/Low-Value Active
427,Tier1,36,5,1892.0,0,Champions
428,Tier3,6,1,135.0,3,New/Low-Value Active
429,Tier2,91,8,551.0,0,Champions
430,Tier2,2,9,2213.0,0,Champions
431,Tier3,112,3,1173.0,2,Dormant/Churned
432,Tier2,23,5,3973.0,0,Champions
433,Tier2,18,3,4568.0,0,Champions
434,Tier1,96,6,2411.0,2,Dormant/Churned
435,Tier3,35,4,953.0,3,New/Low-Value Active
436,Tier2,27,5,1403.0,0,Champions
437,Tier2,15,4,1780.0,0,Champions
438,Tier2,6,6,380.0,0,Champions
439,Tier3,165,4,3321.0,2,Dormant/Churned
440,Tier2,70,6,3177.0,0,Champions
441,Tier1,5,7,3754.0,0,Champions
442,Tier2,71,4,2481.0,0,Champions
443,Tier2,1,3,1174.0,3,New/Low-Value Active
444,Tier3,42,2,2367.0,3,New/Low-Value Active
445,Tier1,37,5,4443.0,0,Champions
446,Tier3,18,4,948.0,3,New/Low-Value Active
447,Tier2,15,3,1469.0,3,New/Low-Value Active
448,Tier3,19,1,256.0,3,New/Low-Value Active
449,Tier3,31,3,114.0,3,New/Low-Value Active
450,Tier3,42,2,1396.0,3,New/Low-Value Active
451,Tier3,28,3,4442.0,0,Champions
452,Tier1,20,5,2553.0,0,Champions
453,Tier2,7,5,1386.0,0,Champions
454,Tier2,37,2,711.0,3,New/Low-Value Active
455,Tier1,0,2,755.0,3,New/Low-Value Active
456,Tier1,21,5,1928.0,0,Champions
457,Tier1,172,14,20323.0,1,At-Risk High-Value
458,Tier3,146,1,773.0,2,Dormant/Churned
459,Tier3,21,1,293.0,3,New/Low-Value Active
460,Tier1,44,8,1634.0,0,Champions
461,Tier3,20,5,5226.0,0,Champions
462,Tier3,39,4,949.0,3,New/Low-Value Active
463,Tier3,190,2,483.0,2,Dormant/Churned
464,Tier2,51,2,364.0,3,New/Low-Value Active
465,Tier3,2,1,52.0,3,New/Low-Value Active
466,Tier3,6,1,498.0,3,New/Low-Value Active
467,Tier2,29,3,2343.0,3,New/Low-Value Active
468,Tier2,138,8,1403.0,2,Dormant/Churned
469,Tier2,4,2,921.0,3,New/Low-Value Active
470,Tier2,128,4,2283.0,2,Dormant/Churned
471,Tier3,3,3,684.0,3,New/Low-Value Active
472,Tier3,10,1,450.0,3,New/Low-Value Active
473,Tier3,18,4,320.0,3,New/Low-Value Active
474,Tier3,14,5,834.0,0,Champions
475,Tier3,27,2,836.0,3,New/Low-Value Active
476,Tier2,69,8,3935.0,0,Champions
477,Tier2,27,3,1582.0,3,New/Low-Value Active
478,Tier2,107,4,258.0,2,Dormant/Churned
479,Tier2,3,7,2036.0,0,Champions
480,Tier3,4,2,584.0,3,New/Low-Value Active
481,Tier2,43,4,1061.0,3,New/Low-Value Active
482,Tier2,48,5,860.0,0,Champions
483,Tier3,21,2,912.0,3,New/Low-Value Active
484,Tier1,29,6,2155.0,0,Champions
485,Tier2,11,4,292.0,3,New/Low-Value Active
486,Tier3,47,1,720.0,3,New/Low-Value Active
487,Tier3,2,7,7928.0,1,At-Risk High-Value
488,Tier3,31,4,2534.0,0,Champions
489,Tier3,1,0,0.0,3,New/Low-Value Active
490,Tier3,21,3,927.0,3,New/Low-Value Active
491,Tier2,60,5,3393.0,0,Champions
492,Tier3,64,4,2060.0,0,Champions
493,Tier3,69,3,814.0,3,New/Low-Value Active
494,Tier3,3,2,300.0,3,New/Low-Value Active
495,Tier2,19,7,4403.0,0,Champions
496,Tier3,7,5,3021.0,0,Champions
497,Tier2,186,5,581.0,2,Dormant/Churned
498,Tier2,45,7,6708.0,1,At-Risk High-Value
499,Tier3,52,3,1480.0,3,New/Low-Value Active
500,Tier3,96,4,1044.0,2,Dormant/Churned
501,Tier2,5,4,1363.0,3,New/Low-Value Active
502,Tier3,12,2,1802.0,3,New/Low-Value Active
503,Tier2,1,5,5301.0,0,Champions
504,Tier3,102,1,300.0,2,Dormant/Churned
505,Tier1,201,5,4747.0,2,Dormant/Churned
506,Tier2,14,5,2607.0,0,Champions
507,Tier2,168,8,274.0,2,Dormant/Churned
508,Tier3,131,2,1392.0,2,Dormant/Churned
509,Tier3,81,4,1893.0,2,Dormant/Churned
510,Tier2,20,5,633.0,0,Champions
511,Tier1,86,9,5081.0,1,At-Risk High-Value
512,Tier2,118,4,1321.0,2,Dormant/Churned
513,Tier2,168,4,2122.0,2,Dormant/Churned
514,Tier2,87,5,2166.0,2,Dormant/Churned
515,Tier3,63,3,347.0,3,New/Low-Value Active
516,Tier2,178,3,867.0,2,Dormant/Churned
517,Tier3,31,3,2333.0,3,New/Low-Value Active
518,Tier2,43,7,2212.0,0,Champions
519,Tier3,20,3,248.0,3,New/Low-Value Active
520,Tier2,9,3,460.0,3,New/Low-Value Active
521,Tier3,8,5,3300.0,0,Champions
522,Tier3,8,2,686.0,3,New/Low-Value Active
523,Tier3,67,1,510.0,3,New/Low-Value Active
524,Tier3,9,6,2122.0,0,Champions
525,Tier3,73,6,1908.0,0,Champions
526,Tier2,135,5,1160.0,2,Dormant/Churned
527,Tier2,13,5,3442.0,0,Champions
528,Tier2,15,3,581.0,3,New/Low-Value Active
529,Tier2,48,3,1450.0,3,New/Low-Value Active
530,Tier2,26,0,0.0,3,New/Low-Value Active
531,Tier2,19,3,214.0,3,New/Low-Value Active
532,Tier2,113,4,4177.0,2,Dormant/Churned
533,Tier3,18,2,237.0,3,New/Low-Value Active
534,Tier3,20,6,9280.0,1,At-Risk High-Value
535,Tier3,12,3,1104.0,3,New/Low-Value Active
536,Tier3,39,4,2972.0,0,Champions
537,Tier3,23,2,957.0,3,New/Low-Value Active
538,Tier3,0,1,924.0,3,New/Low-Value Active
539,Tier3,0,5,1210.0,0,Champions
540,Tier3,84,2,1169.0,3,New/Low-Value Active
541,Tier3,45,2,1355.0,3,New/Low-Value Active
542,Tier2,122,6,11008.0,1,At-Risk High-Value
543,Tier3,1,1,469.0,3,New/Low-Value Active
544,Tier2,173,5,2005.0,2,Dormant/Churned
545,Tier3,50,1,186.0,3,New/Low-Value Active
